100
1 2 3 4 5
1 11 21 31 41
1 12 23 34 45
2 3 4 5 6
2 12 22 32 42
2 13 24 35 46
3 4 5 6 7
3 13 23 33 43
3 14 25 36 47
4 5 6 7 8
4 14 24 34 44
4 15 26 37 48
5 6 7 8 9
5 15 25 35 45
5 16 27 38 49
5 14 23 32 41
6 7 8 9 10
6 16 26 36 46
6 17 28 39 50
6 15 24 33 42
7 17 27 37 47
7 16 25 34 43
8 18 28 38 48
8 17 26 35 44
9 19 29 39 49
9 18 27 36 45
10 20 30 40 50
10 19 28 37 46
11 12 13 14 15
11 21 31 41 51
11 22 33 44 55
12 13 14 15 16
12 22 32 42 52
12 23 34 45 56
13 14 15 16 17
13 23 33 43 53
13 24 35 46 57
14 15 16 17 18
14 24 34 44 54
14 25 36 47 58
15 16 17 18 19
15 25 35 45 55
15 26 37 48 59
15 24 33 42 51
16 17 18 19 20
16 26 36 46 56
16 27 38 49 60
16 25 34 43 52
17 27 37 47 57
17 26 35 44 53
18 28 38 48 58
18 27 36 45 54
19 29 39 49 59
19 28 37 46 55
20 30 40 50 60
20 29 38 47 56
21 22 23 24 25
21 31 41 51 61
21 32 43 54 65
22 23 24 25 26
22 32 42 52 62
22 33 44 55 66
23 24 25 26 27
23 33 43 53 63
23 34 45 56 67
24 25 26 27 28
24 34 44 54 64
24 35 46 57 68
25 26 27 28 29
25 35 45 55 65
25 36 47 58 69
25 34 43 52 61
26 27 28 29 30
26 36 46 56 66
26 37 48 59 70
26 35 44 53 62
27 37 47 57 67
27 36 45 54 63
28 38 48 58 68
28 37 46 55 64
29 39 49 59 69
29 38 47 56 65
30 40 50 60 70
30 39 48 57 66
31 32 33 34 35
31 41 51 61 71
31 42 53 64 75
32 33 34 35 36
32 42 52 62 72
32 43 54 65 76
33 34 35 36 37
33 43 53 63 73
33 44 55 66 77
34 35 36 37 38
34 44 54 64 74
34 45 56 67 78
35 36 37 38 39
35 45 55 65 75
35 46 57 68 79
35 44 53 62 71
36 37 38 39 40
36 46 56 66 76
36 47 58 69 80
36 45 54 63 72
37 47 57 67 77
37 46 55 64 73
38 48 58 68 78
38 47 56 65 74
39 49 59 69 79
39 48 57 66 75
40 50 60 70 80
40 49 58 67 76
41 42 43 44 45
41 51 61 71 81
41 52 63 74 85
42 43 44 45 46
42 52 62 72 82
42 53 64 75 86
43 44 45 46 47
43 53 63 73 83
43 54 65 76 87
44 45 46 47 48
44 54 64 74 84
44 55 66 77 88
45 46 47 48 49
45 55 65 75 85
45 56 67 78 89
45 54 63 72 81
46 47 48 49 50
46 56 66 76 86
46 57 68 79 90
46 55 64 73 82
47 57 67 77 87
47 56 65 74 83
48 58 68 78 88
48 57 66 75 84
49 59 69 79 89
49 58 67 76 85
50 60 70 80 90
50 59 68 77 86
51 52 53 54 55
51 61 71 81 91
51 62 73 84 95
52 53 54 55 56
52 62 72 82 92
52 63 74 85 96
53 54 55 56 57
53 63 73 83 93
53 64 75 86 97
54 55 56 57 58
54 64 74 84 94
54 65 76 87 98
55 56 57 58 59
55 65 75 85 95
55 66 77 88 99
55 64 73 82 91
56 57 58 59 60
56 66 76 86 96
56 67 78 89 100
56 65 74 83 92
57 67 77 87 97
57 66 75 84 93
58 68 78 88 98
58 67 76 85 94
59 69 79 89 99
59 68 77 86 95
60 70 80 90 100
60 69 78 87 96
61 62 63 64 65
62 63 64 65 66
63 64 65 66 67
64 65 66 67 68
65 66 67 68 69
66 67 68 69 70
71 72 73 74 75
72 73 74 75 76
73 74 75 76 77
74 75 76 77 78
75 76 77 78 79
76 77 78 79 80
81 82 83 84 85
82 83 84 85 86
83 84 85 86 87
84 85 86 87 88
85 86 87 88 89
86 87 88 89 90
91 92 93 94 95
92 93 94 95 96
93 94 95 96 97
94 95 96 97 98
95 96 97 98 99
96 97 98 99 100
