36
1 2 3 4
1 7 13 19
1 8 15 22
2 3 4 5
2 8 14 20
2 9 16 23
3 4 5 6
3 9 15 21
3 10 17 24
4 10 16 22
4 9 14 19
5 11 17 23
5 10 15 20
6 12 18 24
6 11 16 21
7 8 9 10
7 13 19 25
7 14 21 28
8 9 10 11
8 14 20 26
8 15 22 29
9 10 11 12
9 15 21 27
9 16 23 30
10 16 22 28
10 15 20 25
11 17 23 29
11 16 21 26
12 18 24 30
12 17 22 27
13 14 15 16
13 19 25 31
13 20 27 34
14 15 16 17
14 20 26 32
14 21 28 35
15 16 17 18
15 21 27 33
15 22 29 36
16 22 28 34
16 21 26 31
17 23 29 35
17 22 27 32
18 24 30 36
18 23 28 33
19 20 21 22
20 21 22 23
21 22 23 24
25 26 27 28
26 27 28 29
27 28 29 30
31 32 33 34
32 33 34 35
33 34 35 36
